,datetime,price,signal,closed
0,2010-08-12 16:05:00,0.22,SELL,OPENED
1,2010-08-12 16:10:00,0.23,SELL,STOPPED OUT
2,2010-11-11 16:05:00,0.31,SELL,OPENED
3,2010-11-11 16:20:00,0.32,SELL,STOPPED OUT
4,2011-02-16 16:05:00,0.58,BUY,OPENED
5,2011-02-16 16:15:00,0.59,BUY,TOOK PROFIT
6,2011-05-12 16:05:00,0.51,BUY,OPENED
7,2011-05-12 16:20:00,0.53,BUY,TOOK PROFIT
8,2012-05-11 16:05:00,0.33,BUY,OPENED
9,2012-05-11 18:05:00,0.33,BUY,EXITED
10,2012-08-09 16:05:00,0.37,BUY,OPENED
11,2012-08-09 16:10:00,0.36,BUY,STOPPED OUT
12,2013-02-13 16:05:00,0.31,BUY,OPENED
13,2013-02-13 18:00:00,0.3,BUY,STOPPED OUT
14,2013-05-09 16:05:00,0.35,BUY,OPENED
15,2013-05-09 18:05:00,0.35,BUY,EXITED
16,2013-08-08 16:05:00,0.36,BUY,OPENED
17,2013-08-08 16:10:00,0.37,BUY,TOOK PROFIT
18,2014-02-12 16:05:00,0.42,BUY,OPENED
19,2014-02-12 16:20:00,0.43,BUY,TOOK PROFIT
20,2014-05-06 16:05:00,0.46,BUY,OPENED
21,2014-05-06 18:05:00,0.46,BUY,EXITED
22,2014-08-07 16:05:00,0.43,BUY,OPENED
23,2014-08-07 16:10:00,0.44,BUY,TOOK PROFIT
24,2015-02-11 16:05:00,0.52,BUY,OPENED
25,2015-02-11 16:20:00,0.55,BUY,TOOK PROFIT
26,2015-08-06 16:05:00,0.51,BUY,OPENED
27,2015-08-06 16:10:00,0.5,BUY,STOPPED OUT
28,2015-11-05 16:05:00,0.7,BUY,OPENED
29,2015-11-05 16:20:00,0.74,BUY,TOOK PROFIT
30,2016-02-17 16:05:00,0.68,BUY,OPENED
31,2016-02-17 16:20:00,0.74,BUY,TOOK PROFIT
32,2016-08-11 16:05:00,1.49,BUY,OPENED
33,2016-08-11 16:20:00,1.54,BUY,TOOK PROFIT
34,2016-11-10 16:05:00,1.7,BUY,OPENED
35,2016-11-10 16:20:00,1.88,BUY,TOOK PROFIT
36,2017-02-09 16:05:00,2.93,BUY,OPENED
37,2017-02-09 16:20:00,2.83,BUY,STOPPED OUT
38,2017-05-09 16:05:00,2.6,BUY,OPENED
39,2017-05-09 16:20:00,2.84,BUY,TOOK PROFIT
40,2017-08-10 16:05:00,4.13,BUY,OPENED
41,2017-08-10 16:20:00,3.95,BUY,STOPPED OUT
42,2017-11-09 16:05:00,5.06,BUY,OPENED
43,2017-11-09 16:20:00,5.21,BUY,TOOK PROFIT
44,2018-02-08 16:05:00,5.49,BUY,OPENED
45,2018-02-08 16:20:00,5.74,BUY,TOOK PROFIT
46,2018-05-10 16:05:00,6.51,BUY,OPENED
47,2018-05-10 16:25:00,6.37,BUY,STOPPED OUT
48,2018-08-16 16:05:00,6.46,BUY,OPENED
49,2018-08-16 16:20:00,6.09,BUY,STOPPED OUT
50,2018-11-15 16:05:00,5.07,BUY,OPENED
51,2018-11-15 16:20:00,4.27,BUY,STOPPED OUT
52,2019-02-14 16:05:00,3.86,SELL,OPENED
53,2019-02-14 16:20:00,4.09,SELL,STOPPED OUT
54,2019-05-16 16:05:00,4.03,BUY,OPENED
55,2019-05-16 16:20:00,4.2,BUY,TOOK PROFIT
56,2019-11-14 16:05:00,5.26,BUY,OPENED
57,2019-11-14 17:55:00,5.18,BUY,STOPPED OUT
58,2020-05-21 16:05:00,8.81,BUY,OPENED
59,2020-05-21 18:05:00,8.72,BUY,EXITED
60,2021-02-24 16:05:00,14.52,BUY,OPENED
61,2021-02-24 16:25:00,14.85,BUY,TOOK PROFIT
62,2021-05-26 16:05:00,15.74,SELL,OPENED
63,2021-05-26 17:05:00,15.45,SELL,TOOK PROFIT
64,2022-08-24 16:05:00,17.29,SELL,OPENED
65,2022-08-24 16:30:00,16.87,SELL,TOOK PROFIT
66,2022-11-16 16:05:00,15.94,SELL,OPENED
67,2022-11-16 16:20:00,16.41,SELL,STOPPED OUT
68,2023-02-22 16:05:00,20.77,BUY,OPENED
69,2023-02-22 16:50:00,22.28,BUY,TOOK PROFIT
70,2023-05-24 16:05:00,30.33,BUY,OPENED
71,2023-05-24 16:20:00,35.0,BUY,TOOK PROFIT
72,2023-08-23 16:05:00,47.12,BUY,OPENED
73,2023-08-23 16:20:00,51.3,BUY,TOOK PROFIT
74,2023-11-21 16:05:00,50.08,BUY,OPENED
75,2023-11-21 18:05:00,49.34,BUY,EXITED
76,2024-02-21 16:05:00,67.92,BUY,OPENED
77,2024-02-21 16:25:00,71.02,BUY,TOOK PROFIT
78,2024-08-28 16:05:00,125.26,SELL,OPENED
79,2024-08-28 16:15:00,128.23,SELL,STOPPED OUT
